Name,Email,Role,Job Level,Manager Email,Start date,Nationality,Residence,Gender,Personal Email,Birthday,Business Group
Emma Salas,emma.salas@domain.com,Creative,3a,Keanu Smith,2021-09-06,Brazil,United Kingdom,Male,6549359@gmail.com,1991-09-06,Business Function
Zaiden Spencer,zaiden.spencer@domain.com,Director of Generative AI Consulting,6a,Miller Garrett,2024-03-18,Germany,Finland,Male,4080575@gmail.com,1995-06-20,Business Function
Alyssa Ponce,alyssa.ponce@domain.com,Senior Customer Experience Manager,4b IC,Miller Garrett,2022-03-07,Hungary,Hungary,Male,4532511@gmail.com,1994-04-25,Business Function
Langston Chapman,langston.chapman@domain.com,Enterprise Business Development Representative,2a,Imani Rivera,2022-10-03,Canada,Canada,Male,1427041@gmail.com,1996-09-06,Business Function
Zuri Barron,zuri.barron@domain.com,Creative,3b,Melody Dixon,2020-09-21,Costa Rica,Costa Rica,Male,1275448@gmail.com,1990-04-01,Creative
Dustin George,dustin.george@domain.com,Lead Product Designer,4a IC,John Pacheco,2021-09-06,Spain,Spain,Male,8721241@gmail.com,1990-10-31,Business Function
Adelyn McGee,adelyn.mcgee@domain.com,Creative,3a,Roman Durham,2022-07-04,Brazil,Brazil,Male,1734520@gmail.com,1990-10-20,Creative
Conner Phan,conner.phan@domain.com,Senior Designer,3b,Marley Alvarez,2016-05-23,Croatia,Croatia,Female,8168244@gmail.com,1976-08-26,Business Function
Elsa McPherson,elsa.mcpherson@domain.com,CMO,8,Ian Chapman,2024-03-01,United States of America (USA),United States of America (USA),Female,5003650@gmail.com,1976-04-02,Business Function
Foster Cordova,foster.cordova@domain.com,Learning Program Manager,4a IC,Clara Gardner,2022-05-09,Argentina,Spain,Female,7441797@gmail.com,1991-12-16,Business Function
Florence Johnson,florence.johnson@domain.com,Account Executive,3b,Lewis Reese,2022-09-01,"South Africa, Portugal",South Africa,Female,7762937@gmail.com,1989-07-03,Business Function
Noah Figueroa,noah.figueroa@domain.com,CPM Team Lead,4b Manager,Jett Gutierrez,2017-09-22,Malaysia,Malaysia,Female,4889171@gmail.com,1988-05-27,CPM
Lilith Castaneda,lilith.castaneda@domain.com,Head of Financial Planning and Analysis,5a Manager,Ian Chapman,2022-02-01,"South Africa, United Kingdom",South Africa,Female,7771660@gmail.com,1983-05-13,Business Function
Collin Lugo,collin.lugo@domain.com,Creative,2a,Helena Quinn,2021-06-07,Philippines,Philippines,Female,7802750@gmail.com,1995-05-01,Creative
Kaylie Massey,kaylie.massey@domain.com,CTO,8,Ian Chapman,2016-02-01,Norway,Norway,Male,2933127@gmail.com,1989-11-23,Business Function
Donald Buck,donald.buck@domain.com,"VP, Creative Services",7,Miller Garrett,2022-03-01,Norway,Norway,Male,4419162@gmail.com,1986-04-23,Business Function
Livia Conley,livia.conley@domain.com,Creative Team Lead,4b Manager,Murphy Costa,2021-04-26,Brazil,Brazil,Male,3042112@gmail.com,1977-09-21,Creative
Marvin Durham,marvin.durham@domain.com,Senior Engineering Manager,5a Manager,Elaina Mack,2021-03-15,Portugal,Spain,Male,5754592@gmail.com,1991-04-04,Business Function
Tiffany Sierra,tiffany.sierra@domain.com,Creative,4a IC,Juniper Phelps,2021-03-15,Brazil,Brazil,Male,7671098@gmail.com,1989-11-01,Creative
Dayton Pope,dayton.pope@domain.com,Marketing Strategist,2a,Brantley Wang,2023-10-02,Brazil,Brazil,Male,2114385@gmail.com,1995-07-25,Business Function
Aurelia Conrad,aurelia.conrad@domain.com,Director of People Experience,6a,Owen Love,2022-07-18,"Argentina, Italy",Spain,Male,7829556@gmail.com,1990-10-26,Business Function
Dilan Estrada,dilan.estrada@domain.com,Revenue Operations Associate,2a,Kynlee Bauer,2024-07-08,South Africa,South Africa,Male,1509179@gmail.com,1999-06-25,Business Function
Sawyer Christensen,sawyer.christensen@domain.com,Creative Team Lead,4b Manager,Murphy Costa,2022-02-07,Portugal,Portugal,Male,1236354@gmail.com,1989-03-16,Creative
Gregory Bridges,gregory.bridges@domain.com,Creative,2a,Sergio Parrish,2020-11-18,Guatemala,Guatemala,Male,5776188@gmail.com,1989-07-30,Creative
Elora Crosby,elora.crosby@domain.com,Customer Success Manager,2a,Scarlett Henderson,2024-06-03,South Africa,South Africa,Male,8599333@gmail.com,1979-07-12,Business Function
Tristen Hardin,tristen.hardin@domain.com,Lead People Care Partner,3a,Alden Mason,2021-03-01,South Africa,South Africa,Female,5575914@gmail.com,1996-07-16,Business Function
Vada Velez,vada.velez@domain.com,Creative,3a,Keanu Smith,2021-09-06,Portugal,Portugal,Male,5643559@gmail.com,1976-04-11,Creative
Kareem Wu,kareem.wu@domain.com,Creative Team Lead,4b Manager,Neil Wagner,2021-04-26,Mexico,Mexico,Male,8369138@gmail.com,1989-07-11,Creative
Liana Hurst,liana.hurst@domain.com,Creative Project Manager,2a,Kieran Lindsey,2023-02-06,El Salvador,El Salvador,Male,4340979@gmail.com,1996-12-06,CPM
Neil Wagner,neil.wagner@domain.com,"Creative Director, Motion",6a,Robert Schwartz,2021-05-24,Portugal,Portugal,Male,6859455@gmail.com,1986-06-15,Business Function
Maeve Allison,maeve.allison@domain.com,CPM Team Lead,4b Manager,Jett Gutierrez,2021-02-17,"Argentina, Italy",Argentina,Female,7564478@gmail.com,1986-10-22,CPM
Dennis Schneider,dennis.schneider@domain.com,CPM Team Lead,4b Manager,Jett Gutierrez,2020-09-21,"Argentina, Spain",Spain,Female,2220632@gmail.com,1987-04-10,CPM
Delaney Nava,delaney.nava@domain.com,"Operations Excellence Specialist, Insights",1b,Titus Baxter,2021-09-06,Nigeria,Nigeria,Male,6039027@gmail.com,1990-07-27,Business Function
Stefan Tyler,stefan.tyler@domain.com,Creative Team Lead,4b Manager,Poppy Golden,2021-05-03,South Africa,South Africa,Male,3848502@gmail.com,1992-04-24,Creative
Helena Quinn,helena.quinn@domain.com,Creative Team Lead,4a Manager,Aitana Lee,2021-08-02,Philippines,Philippines,Male,1937040@gmail.com,1989-02-28,Creative
Rhys Salazar,rhys.salazar@domain.com,Senior Marketing Strategist,3b,Jerry Thomas,2022-08-01,Colombia,Colombia,Male,6641791@gmail.com,1982-10-29,Business Function
Freya Sutton,freya.sutton@domain.com,Creative Strategist,3b,Jayden Henson,2024-02-05,Argentina,Argentina,Male,3834426@gmail.com,1995-07-11,Business Function
Warren Glover,warren.glover@domain.com,Creative,2b,Elise McCarty,2023-09-04,Colombia,Colombia,Male,3308007@gmail.com,1993-03-17,Business Function
Alessia Gonzales,alessia.gonzales@domain.com,Creative,1b,Keanu Smith,2023-11-06,Colombia,Colombia,Male,8203601@gmail.com,1992-05-01,Business Function
Brayden Wolf,brayden.wolf@domain.com,Creative Project Manager,1a,Dayton Howard,2024-08-05,Colombia,Colombia,Male,8417116@gmail.com,1998-12-14,CPM
Jolene Arroyo,jolene.arroyo@domain.com,Associate Creative Director,5a Manager,Galilea McIntyre,2020-10-16,Colombia,Colombia,Male,1490112@gmail.com,1988-06-09,Creative
Alberto Carpenter,alberto.carpenter@domain.com,Creative,3b,Dario Andrade,2022-04-04,"Argentina, Spain",Spain,Female,8519971@gmail.com,1993-03-01,Creative
Lilly Kaur,lilly.kaur@domain.com,Creative,1b,Sawyer Christensen,2022-09-05,South Africa,South Africa,Female,1545863@gmail.com,1995-03-02,Creative
Augustine Nixon,augustine.nixon@domain.com,Associate Creative Director,5a Manager,Jaime Petersen,2022-04-04,United States of America (USA),Spain,Male,8368270@gmail.com,1978-03-31,Creative
Deborah Jefferson,deborah.jefferson@domain.com,Creative,2a,Galilea McIntyre,2023-10-02,Argentina,Argentina,Female,2344561@gmail.com,1997-08-24,Business Function
Raylan Ford,raylan.ford@domain.com,Creative Project Manager,1b,Mauricio Martin,2022-07-04,South Africa,South Africa,Female,3000818@gmail.com,1994-06-30,CPM
Alexandra Rich,alexandra.rich@domain.com,Creative,2a,Alexia Ponce,2020-11-20,Colombia,Colombia,Male,5179198@gmail.com,1992-11-25,Creative
Miller Adams,miller.adams@domain.com,Creative Project Manager,2a,Emmitt McDowell,2022-06-06,Malaysia,Malaysia,Male,3205087@gmail.com,1991-04-28,CPM
Stella Valentine,stella.valentine@domain.com,Creative Team Lead,4b Manager,Neil Wagner,2021-05-10,South Africa,South Africa,Male,7757477@gmail.com,1990-06-19,Creative
Demetrius Burch,demetrius.burch@domain.com,Creative,2b,Elise McCarty,2024-03-04,Colombia,Colombia,Male,1756130@gmail.com,1993-07-07,Creative
Freyja Duncan,freyja.duncan@domain.com,Creative,3b,Juniper Phelps,2022-05-02,Colombia,Colombia,Male,1714403@gmail.com,1992-12-17,Creative
Avery Santos,avery.santos@domain.com,Creative Project Manager,3a,Mack Townsend,2021-10-04,Colombia,Colombia,Female,6134770@gmail.com,1997-10-19,CPM
Alana Duran,alana.duran@domain.com,Creative Project Manager,2b,Reed Hill,2020-10-13,Colombia,Colombia,Female,2122068@gmail.com,1988-08-12,CPM
Ismael Russell,ismael.russell@domain.com,Associate Director of Sales Operations,5b Manager,Kynlee Bauer,2022-04-01,France,Switzerland,Female,6516340@gmail.com,1992-06-01,Business Function
Raelynn Gilmore,raelynn.gilmore@domain.com,Creative,3a,Stefan Tyler,2023-09-04,South Africa,South Africa,Female,1790301@gmail.com,1993-02-13,Creative
Vihaan Robbins,vihaan.robbins@domain.com,Creative Project Manager,2b,Maeve Allison,2021-07-12,"Argentina, Italy",Argentina,Female,2208031@gmail.com,1990-07-12,CPM
Stevie Davila,stevie.davila@domain.com,Creative Director,6a,Tinsley Franco,2022-01-10,"Portugal, Brazil",Portugal,Male,3838713@gmail.com,1984-08-04,Business Function
Grey Leal,grey.leal@domain.com,Creative Project Manager,3a,Dennis Schneider,2021-06-14,"Spain",Spain,Male,4029807@gmail.com,1979-06-12,CPM
Murphy Costa,murphy.costa@domain.com,"Creative Director, Branding",6a,Donald Buck,2022-03-07,Serbia,Germany,Female,4625822@gmail.com,1987-02-06,Business Function
Kenji Roberts,kenji.roberts@domain.com,Creative Project Manager,1a,Maeve Allison,2023-06-19,"Mexico, Venezuela",Mexico,Female,5138760@gmail.com,1990-05-31,CPM
Paisley Weeks,paisley.weeks@domain.com,Creative Project Manager,2b,Abby Middleton,2021-04-06,Colombia,Colombia,Female,7215071@gmail.com,1991-05-22,CPM
Anders Barnes,anders.barnes@domain.com,Creative Lead,4a IC,Javier Simpson,2021-02-01,South Africa,South Africa,Female,3372512@gmail.com,1994-04-13,Creative
Liliana Zamora,liliana.zamora@domain.com,Creative,3b,Sergio Parrish,2023-10-02,Brazil,Brazil,Female,1835587@gmail.com,1997-09-02,Creative
Quentin Bauer,quentin.bauer@domain.com,Creative,2b,Sergio Parrish,2022-04-04,Brazil,Brazil,Female,3341584@gmail.com,1994-01-02,Creative
Haley Macias,haley.macias@domain.com,Creative,1b,Helena Quinn,2022-01-10,Philippines,Philippines,Female,2078058@gmail.com,1993-03-18,Creative
Moshe Stein,moshe.stein@domain.com,Creative Lead,4a IC,Chaya Glover,2022-05-02,Portugal,Portugal,Female,7366389@gmail.com,1988-10-22,Creative
Leilany Hickman,leilany.hickman@domain.com,Account Executive,3a,Graysen Berger,2021-06-01,South Africa,South Africa,Female,4798310@gmail.com,1991-06-27,Business Function
Jakobe Bell,jakobe.bell@domain.com,Creative,3a,Kareem Wu,2021-02-08,Nicaragua,Nicaragua,Male,2189540@gmail.com,1990-01-14,Creative
Melody Dixon,melody.dixon@domain.com,Associate Creative Director,5a Manager,Galilea McIntyre,2020-03-16,Costa Rica,Costa Rica,Male,3953402@gmail.com,1982-01-29,Creative
Camden Boone,camden.boone@domain.com,Customer Success Manager,3a,Kai Gates,2023-09-04,Latvia,Latvia,Female,2581164@gmail.com,1985-05-07,Business Function
Mariam Ponce,mariam.ponce@domain.com,Creative Team Lead,4b Manager,Poppy Golden,2022-05-02,Ireland,Spain,Male,5062596@gmail.com,1979-08-22,Creative
Langston Garcia,langston.garcia@domain.com,Creative Project Manager,2b,Dennis Schneider,2021-09-06,Costa Rica,Costa Rica,Female,3001843@gmail.com,1988-02-01,CPM
Amelia Wilcox,amelia.wilcox@domain.com,Senior Backend Engineer,3b,Miracle Long,2021-06-21,Russian Federation,Russian Federation,Male,5988786@gmail.com,1993-01-03,Business Function
Jerry Thomas,jerry.thomas@domain.com,Associate Director of Marketing Strategy,5b Manager,Robert Schwartz,2023-03-06,"South Africa, United Kingdom",South Africa,Female,4027371@gmail.com,1991-05-22,Business Function
Elizabeth Briggs,elizabeth.briggs@domain.com,"Operations Excellence Junior Associate, Project Support Operations",2b,Titus Baxter,2024-04-08,Colombia,Colombia,Male,6720113@gmail.com,2002-05-28,Business Function
Case Payne,case.payne@domain.com,"Operations Excellence Specialist, Insights",1b,Titus Baxter,2016-05-13,Ghana,Ghana,Male,7029601@gmail.com,1984-05-14,Business Function
London Sandoval,london.sandoval@domain.com,Senior Productivity Manager,5a IC,Scout Watts,2024-08-05,South Africa,Sweden,Male,6366940@gmail.com,1989-10-09,Business Function
Brantley Wang,brantley.wang@domain.com,Marketing Strategy Manager,4a Manager,Jerry Thomas,2022-07-04,South Africa,South Africa,Female,8531008@gmail.com,1992-10-04,Business Function
Kailani Cochran,kailani.cochran@domain.com,Creative Project Manager,3b,Abby Middleton,2021-09-06,"South Africa, United Kingdom",South Africa,Female,7371356@gmail.com,1991-01-02,CPM
Danny Hayden,danny.hayden@domain.com,Creative,2a,Maliyah Cuevas,2022-08-01,Zimbabwe,South Africa,Male,2715087@gmail.com,1988-03-08,Business Function
Avayah Booker,avayah.booker@domain.com,Creative,2a,Helena Quinn,2022-01-10,Philippines,Philippines,Female,3775310@gmail.com,1998-04-21,Creative
Dominik Huff,dominik.huff@domain.com,Senior Marketing Strategist,3a,Jerry Thomas,2022-07-04,"South Africa, Italy",South Africa,Male,2913131@gmail.com,1984-04-04,Business Function
Karsyn Owen,karsyn.owen@domain.com,Senior Information Security and Risk Analyst,2b,Addyson Randolph,2022-06-20,South Africa,South Africa,Male,2254560@gmail.com,1993-04-19,Business Function
Cannon Howell,cannon.howell@domain.com,Associate Creative Director,4a Manager,Kace Solis,2022-04-04,Canada,Canada,Male,2758031@gmail.com,1990-03-05,Business Function
Mckenna Cardenas,mckenna.cardenas@domain.com,Creative,1a,Everest Ray,2023-11-06,Argentina,Argentina,Female,8569286@gmail.com,2000-12-06,Business Function
Johnathan Castillo,johnathan.castillo@domain.com,Senior Product Designer,3b,John Pacheco,2024-05-06,Brazil,Brazil,Female,3480507@gmail.com,1995-02-10,Business Function
Eva Briggs,eva.briggs@domain.com,Creative,3b,Chaya Glover,2023-09-04,Colombia,Colombia,Female,8303650@gmail.com,1994-05-30,Creative
Case Mathews,case.mathews@domain.com,Creative,3b,Hector Copeland,2023-10-02,South Africa,South Africa,Female,8030185@gmail.com,1989-02-17,Creative
Sloan Garrett,sloan.garrett@domain.com,Creative Project Manager,1b,Mack Townsend,2023-07-03,"Colombia, Spain",Colombia,Female,8586245@gmail.com,1994-02-17,CPM
Kairo Giles,kairo.giles@domain.com,Creative Project Manager,1a,Halle McCall,2023-09-04,Colombia,Colombia,Female,7966200@gmail.com,1992-04-09,CPM
Bailee Galindo,bailee.galindo@domain.com,People Operations Team Lead,4a Manager,Aurelia Conrad,2022-10-17,Brazil,Brazil,Female,7346376@gmail.com,1999-09-07,Business Function
Salvatore Medrano,salvatore.medrano@domain.com,Creative Project Manager,2a,Cedric Love,2022-05-02,Colombia,Colombia,Female,8137228@gmail.com,1994-10-12,CPM
Halle Perkins,halle.perkins@domain.com,Creative Project Manager,2a,Cedric Love,2022-03-07,Colombia,Colombia,Female,8138019@gmail.com,1995-05-27,CPM
Kyrie Medrano,kyrie.medrano@domain.com,Creative Project Manager,2a,Abby Middleton,2022-05-02,"Colombia, United States of America (USA)",Colombia,Female,7941864@gmail.com,1995-01-31,CPM
Halle McCall,halle.mccall@domain.com,CPM Team Lead,4b Manager,Esme Jacobs,2020-01-20,Colombia,Colombia,Female,6349172@gmail.com,1986-05-13,CPM
Kiaan Peralta,kiaan.peralta@domain.com,Producer,3b,Jerry Thomas,2023-08-07,South Africa,South Africa,Female,7434917@gmail.com,1990-06-01,Business Function
Malayah Morrow,malayah.morrow@domain.com,Associate Creative Director,5a Manager,Aitana Lee,2021-07-26,South Africa,South Africa,Female,6529669@gmail.com,1982-08-10,Creative
Kyree Salazar,kyree.salazar@domain.com,Creative Project Manager,1a,Kieran Lindsey,2023-12-04,South Africa,South Africa,Female,6856259@gmail.com,1993-11-14,CPM
Freya Knight,freya.knight@domain.com,Senior Software Engineer,3a,Luciana Espinoza,2022-10-03,"Brazil, Portugal",Brazil,Male,3560502@gmail.com,1988-01-03,Business Function
Beckett Patrick,beckett.patrick@domain.com,Creative,3a,Sergio Parrish,2022-02-07,Uruguay,Uruguay,Male,6564152@gmail.com,1984-04-24,Creative
Lyra Adkins,lyra.adkins@domain.com,Creative Project Manager,1b,Marisol Alexander,2023-02-06,South Africa,South Africa,Male,2522787@gmail.com,1986-09-02,CPM
Kylo Snow,kylo.snow@domain.com,Customer Success Manager,3b,Scarlett Henderson,2021-07-05,South Africa,South Africa,Female,4237349@gmail.com,1996-07-30,Business Function
Alexia Ponce,alexia.ponce@domain.com,Creative Team Lead,4a Manager,Thiago Valentine,2022-05-02,Argentina,Argentina,Male,4599837@gmail.com,1981-01-13,Creative
Langston Pollard,langston.pollard@domain.com,Operations Excellence Associate,3a,Titus Baxter,2023-01-09,Brazil,Brazil,Female,1077485@gmail.com,1995-05-16,Business Function
Marisol Alexander,marisol.alexander@domain.com,CPM Team Lead,4a Manager,Jett Gutierrez,2021-02-01,South Africa,South Africa,Female,3481853@gmail.com,1994-02-02,CPM
Kingston Armstrong,kingston.armstrong@domain.com,FP&A Manager,4a IC,Lilith Castaneda,2024-01-02,South Africa,South Africa,Female,4228144@gmail.com,1988-12-03,Business Function
Presley Barber,presley.barber@domain.com,Creative Project Manager,1a,Halle McCall,2024-01-08,South Africa,South Africa,Female,7984697@gmail.com,1995-06-06,CPM
Solomon Lozano,solomon.lozano@domain.com,Customer Success Manager,2b,Scarlett Henderson,2022-07-04,South Africa,South Africa,Female,4487395@gmail.com,1992-06-08,Business Function
Cecelia Harris,cecelia.harris@domain.com,Creative Project Manager,2a,Abby Middleton,2021-10-04,Mexico,Mexico,Female,6512477@gmail.com,1990-08-10,CPM
Samuel Carr,samuel.carr@domain.com,Creative,3a,Thiago Valentine,2022-06-06,Mexico,Mexico,Female,6509272@gmail.com,1996-04-10,Creative
Rowan Kline,rowan.kline@domain.com,Creative,2b,Stefan Tyler,2023-09-04,"South Africa, Mauritius",South Africa,Male,3283475@gmail.com,1994-04-07,Creative
Ramon Hendricks,ramon.hendricks@domain.com,Revenue Operations System Administrator,2b,Willa Orozco,2023-04-03,Romania,Romania,Female,7074444@gmail.com,1988-11-09,Business Function
Dani Skinner,dani.skinner@domain.com,Group Product Manager,5a Manager,Gwendolyn Peck,2022-01-03,Germany,Germany,Male,3720686@gmail.com,1993-01-25,Business Function
Ridge Hensley,ridge.hensley@domain.com,Creative,3b,Stella Valentine,2024-01-08,France,Czech Republic,Female,7794070@gmail.com,1997-07-07,Creative
Malaya Hood,malaya.hood@domain.com,Creative Project Manager,3b,Maeve Allison,2021-01-18,Mexico,Canada,Female,1027146@gmail.com,1989-01-06,CPM
Brixton Harrington,brixton.harrington@domain.com,Creative,3a,Roman Durham,2024-01-08,Brazil,Brazil,Diverse,4051290@gmail.com,1993-02-18,Creative
Legacy McKay,legacy.mckay@domain.com,Creative Lead,4a IC,Melody Dixon,2024-01-08,"Brazil, Australia, Italy",Brazil,Male,4792714@gmail.com,1981-08-27,Creative
Joey Cunningham,joey.cunningham@domain.com,Enterprise Business Development Representative,2a,Jeffery Farrell,2024-08-05,Colombia,Colombia,Male,2464790@gmail.com,1996-05-07,Business Function
Marley Alvarez,marley.alvarez@domain.com,Associate Creative Director,5a Manager,Kace Solis,2024-07-01,"Portugal, Brazil",Portugal,Male,5708177@gmail.com,1988-02-17,Business Function
Xavier Zhang,xavier.zhang@domain.com,Creative Project Manager,1b,Dennis Schneider,2023-02-06,"Spain, Argentina",Argentina,Female,7186297@gmail.com,1995-09-26,CPM
Sarai Bishop,sarai.bishop@domain.com,Senior Motion Designer,2b,Annika Alvarez,2021-07-26,Uruguay,Portugal,Female,3415065@gmail.com,1988-11-23,Business Function
Paxton Torres,paxton.torres@domain.com,Creative Project Manager,3a,Dennis Schneider,2021-03-08,Guatemala,Guatemala,Female,5551352@gmail.com,1994-02-14,CPM
Violet Pope,violet.pope@domain.com,Creative Project Manager,1a,Dennis Schneider,2024-01-08,Argentina,Argentina,Female,3640356@gmail.com,1996-09-20,CPM
Gunnar Butler,gunnar.butler@domain.com,Creative,1a,Everest Ray,2023-10-02,"Uruguay,Argentina",Uruguay,Female,4748318@gmail.com,1998-09-25,Business Function
Athena Allen,athena.allen@domain.com,Creative Project Manager,3b,Dayton Howard,2020-11-23,"Argentina, Italy",Argentina,Female,3624951@gmail.com,1990-11-08,CPM
Carter Pacheco,carter.pacheco@domain.com,Creative,4a IC,Thiago Valentine,2022-05-02,Argentina,Argentina,Male,6136848@gmail.com,1988-04-29,Creative
Paris Mueller,paris.mueller@domain.com,Creative Project Manager,1a,Abby Middleton,2024-03-04,Argentina,Argentina,Female,2148530@gmail.com,1988-07-02,CPM
Albert Chung,albert.chung@domain.com,Creative,2a,Kareem Wu,2022-01-10,Mexico,Mexico,Male,3642039@gmail.com,1992-09-02,Creative
Rivka Galindo,rivka.galindo@domain.com,Creative,3b,Sergio Parrish,2022-02-07,Colombia,Colombia,Female,4001490@gmail.com,1994-01-29,Creative
Salvatore Saunders,salvatore.saunders@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,2024-03-04,"Serbia, United Kingdom, Spain",Spain,Male,6406866@gmail.com,1995-08-16,Business Function
Meadow Hughes,meadow.hughes@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,2023-01-09,Serbia,Serbia,Male,5502544@gmail.com,1996-04-18,Business Function
Everett Trevino,everett.trevino@domain.com,Marketing Strategist,2a,Brantley Wang,2023-08-07,South Africa,South Africa,Male,6861080@gmail.com,1994-04-07,Business Function
Priscilla Black,priscilla.black@domain.com,Creative Project Manager,1a,Alanna Knox,2024-09-02,"Italy, Uruguay",Uruguay,Female,3678385@gmail.com,1996-12-27,CPM
Matteo Duran,matteo.duran@domain.com,Senior Product Designer,3b,John Pacheco,2022-12-05,India,India,Female,6942469@gmail.com,1990-11-22,Business Function
Willa Kerr,willa.kerr@domain.com,Sales Development Representative,1a,Kali Cameron,2024-05-06,United Kingdom,Mexico,Female,2205006@gmail.com,1998-03-02,Business Function
Louie Price,louie.price@domain.com,Creative,2b,Avi Barnett,2022-06-06,Spain,Spain,Female,8893860@gmail.com,1994-05-13,Creative
Piper Snyder,piper.snyder@domain.com,Lead Talent Acquisition Partner,3a,Hannah Nelson,2022-02-07,Poland,Dominican Republic,Female,4479113@gmail.com,1990-01-25,Business Function
Thiago Cline,thiago.cline@domain.com,Senior Marketing Strategist,3b,Jerry Thomas,2023-12-04,South Africa,South Africa,Female,2489493@gmail.com,1992-07-06,Business Function
Lina Decker,lina.decker@domain.com,Account Executive,3a,Naya Small,2021-11-02,Colombia,Colombia,Male,7687825@gmail.com,1990-04-30,Business Function
Taylor Ware,taylor.ware@domain.com,Creative,5a IC,Stevie Davila,2021-03-15,Venezuela,Argentina,Male,7475054@gmail.com,1990-10-26,Business Function
Eileen Sierra,eileen.sierra@domain.com,Creative,2b,Melody Dixon,2021-05-17,El Salvador,El Salvador,Male,6045951@gmail.com,1991-02-13,Creative
Dayton Howard,dayton.howard@domain.com,Interim CPM Team Leader,3b,Esme Jacobs,2020-08-24,"Peru, United States of America (USA)",Peru,Female,2319667@gmail.com,1991-04-13,CPM
Sophie Merritt,sophie.merritt@domain.com,Head of Onboarding Operations,5a Manager,Marley O’Connor,2022-07-25,Spain,Spain,Female,4167733@gmail.com,1995-10-27,Business Function
Colten Patterson,colten.patterson@domain.com,Creative Project Manager,3a,Halle McCall,2021-07-26,Colombia,Colombia,Female,8083273@gmail.com,1992-11-27,CPM
Kaylee Leal,kaylee.leal@domain.com,Creative Project Manager,3a,Kieran Lindsey,2020-11-02,Costa Rica,Costa Rica,Female,5654499@gmail.com,1991-08-26,CPM
Cedric Love,cedric.love@domain.com,CPM Team Lead,4a Manager,Jett Gutierrez,2021-01-18,"Venezuela, Colombia, Spain",United Arab Emirates,Female,1431805@gmail.com,1995-10-12,CPM
Avianna Blevins,avianna.blevins@domain.com,Creative,3b,Harris Sawyer,2021-02-08,Brazil,Brazil,Male,5356395@gmail.com,1985-12-20,Creative
Avi Barnett,avi.barnett@domain.com,Creative Team Lead,4b Manager,Aitana Lee,2022-01-10,Argentina,Uruguay,Female,5843411@gmail.com,1992-11-10,Creative
Harlow Mullins,harlow.mullins@domain.com,Creative,2a,Augustine Nixon,2024-01-08,Argentina,Mexico,Male,5475658@gmail.com,1997-03-15,Creative
Allen Dawson,allen.dawson@domain.com,Creative Project Manager,3a,Cecilia Fleming,2021-06-01,Mexico,Mexico,Male,7224222@gmail.com,1995-12-30,CPM
Veronica Espinosa,veronica.espinosa@domain.com,Creative,3b,Kohen Carlson,2022-06-06,Argentina,Argentina,Male,7915920@gmail.com,1991-04-22,Creative
Khalid Mendoza,khalid.mendoza@domain.com,Creative,3a,Livia Conley,2021-04-06,Argentina,Argentina,Male,7999930@gmail.com,1989-06-30,Creative
Cora McClure,cora.mcclure@domain.com,Senior Growth Marketing Specialist,4a IC,Leighton May,2022-06-21,Brazil,Brazil,Male,5367341@gmail.com,1993-12-21,Business Function
Reese Roth,reese.roth@domain.com,GenAI Consulting Associate,2a,Zaiden Spencer,2024-09-02,Brazil,Brazil,Male,6902240@gmail.com,1999-07-31,Business Function
Elliot Ruiz,elliot.ruiz@domain.com,Creative,3a,Stella Valentine,2022-03-07,South Africa,South Africa,Female,1996003@gmail.com,1995-07-31,Creative
Austin Schneider,austin.schneider@domain.com,Creative Project Manager,1a,Kieran Lindsey,2024-09-03,Colombia,Colombia,Female,4885136@gmail.com,1995-02-28,CPM
Delaney Gordon,delaney.gordon@domain.com,Creative,2b,Blake Glover,2024-01-08,Brazil,Brazil,Female,6848501@gmail.com,1999-03-14,Creative
Karter Marshall,karter.marshall@domain.com,Senior Customer Experience Manager,4b IC,Miller Garrett,2021-12-01,Spain,Spain,Female,7767561@gmail.com,1996-10-04,Business Function
Adalyn Hansen,adalyn.hansen@domain.com,Creative Project Manager,1b,Maeve Allison,2022-09-25,Colombia,Colombia,Female,3884170@gmail.com,1992-10-15,CPM
Charlie Vang,charlie.vang@domain.com,Creative Project Manager,1a,Cedric Love,2024-08-05,"Mexico, United States of America (USA)",Mexico,Female,8314355@gmail.com,1999-01-15,CPM
Madisyn Rodgers,madisyn.rodgers@domain.com,Senior People Operations Specialist,2b,Bailee Galindo,2024-05-27,Ecuador,Ecuador,Female,5728382@gmail.com,1996-05-09,Business Function
Mathias Sharp,mathias.sharp@domain.com,Creative,2b,Rogelio Sandoval,2023-10-02,Argentina,Argentina,Female,3669006@gmail.com,1988-01-27,Creative
Camryn Cameron,camryn.cameron@domain.com,Marketing Strategist,2a,Jerry Thomas,2024-01-08,Mexico,Mexico,Female,4745926@gmail.com,1989-02-24,Business Function
Rayan Yu,rayan.yu@domain.com,Lead People Care Partner,3a,Alden Mason,2023-06-26,Colombia,Colombia,Female,5597685@gmail.com,1993-11-17,Business Function
Navy Tyler,navy.tyler@domain.com,Creative Project Manager,1a,Halle McCall,2024-08-05,Argentina,Argentina,Female,6934204@gmail.com,1995-06-09,CPM
